date,predLabel,probUp,trueLabel,trueRet
2023-09-14,Up,0.82,Down,-0.025037
2023-09-15,Up,0.82,Down,-0.003513
2023-09-18,Up,0.82,Down,-0.001246
2023-09-19,Up,0.82,Down,-0.023977
2023-09-20,Up,0.7352,Down,-0.003866
2023-09-21,Up,0.6112,Down,-0.007887
2023-09-22,Neutral,0.5095,Up,0.001672
2023-09-25,Up,0.6985,Down,-0.017006
2023-09-26,Up,0.5832,Up,0.002082
2023-09-27,Up,0.7859,Up,0.002717
2023-09-28,Up,0.82,Up,0.006727
2023-09-29,Up,0.82,Up,0.019161
2023-10-02,Up,0.82,Down,-0.026134
2023-10-03,Up,0.82,Up,0.017773
2023-10-04,Up,0.82,Up,0.001254
2023-10-05,Up,0.82,Up,0.024737
2023-10-06,Up,0.82,Up,0.007823
2023-10-09,Up,0.82,Down,-0.004336
2023-10-10,Up,0.82,Up,0.012272
2023-10-11,Up,0.82,Down,-0.003790
2023-10-12,Up,0.82,Down,-0.010358
2023-10-13,Up,0.82,Up,0.014982
2023-10-16,Up,0.82,Down,-0.001744
2023-10-17,Up,0.82,Down,-0.005872
2023-10-18,Up,0.82,Up,0.003666
2023-10-19,Up,0.82,Down,-0.014035
2023-10-20,Up,0.82,Up,0.008112
2023-10-23,Up,0.82,Up,0.003674
2023-10-24,Up,0.82,Up,0.030678
2023-10-25,Up,0.82,Down,-0.037514
2023-10-26,Up,0.82,Up,0.005856
2023-10-27,Up,0.82,Up,0.022740
2023-10-30,Up,0.82,Up,0.002372
2023-10-31,Up,0.82,Up,0.023543
2023-11-01,Up,0.82,Up,0.006502
2023-11-02,Up,0.82,Up,0.012862
2023-11-03,Up,0.82,Up,0.010573
2023-11-06,Up,0.82,Up,0.011219
2023-11-07,Up,0.82,Up,0.007406
2023-11-08,Up,0.82,Down,-0.006911
2023-11-09,Up,0.82,Up,0.024897
2023-11-10,Up,0.82,Down,-0.008088
2023-11-13,Up,0.82,Up,0.009791
2023-11-14,Up,0.82,Down,-0.001620
2023-11-15,Up,0.82,Up,0.017583
2023-11-16,Up,0.82,Down,-0.016801
2023-11-17,Up,0.82,Up,0.020522
2023-11-20,Up,0.82,Down,-0.011578
2023-11-21,Up,0.82,Up,0.012813
2023-11-22,Up,0.82,Down,-0.001112
2023-11-24,Up,0.82,Up,0.003126
2023-11-27,Up,0.82,Up,0.010803
2023-11-28,Up,0.82,Down,-0.010060
2023-11-29,Up,0.82,Up,0.000158
2023-11-30,Up,0.82,Down,-0.011612
2023-12-01,Up,0.82,Down,-0.014339
2023-12-04,Up,0.82,Up,0.009156
2023-12-05,Up,0.82,Down,-0.009986
2023-12-06,Up,0.82,Up,0.005830
2023-12-07,Up,0.82,Up,0.008842
2023-12-08,Up,0.82,Down,-0.007829
2023-12-11,Up,0.82,Up,0.008295
2023-12-12,Up,0.82,Down,-0.000027
2023-12-13,Up,0.82,Down,-0.022545
2023-12-14,Up,0.82,Up,0.013117
2023-12-15,Up,0.82,Up,0.005179
2023-12-18,Up,0.82,Up,0.001637
2023-12-19,Up,0.82,Down,-0.007073
2023-12-20,Up,0.82,Up,0.007879
2023-12-21,Up,0.82,Up,0.002784
2023-12-22,Up,0.82,Up,0.000214
2023-12-26,Up,0.82,Down,-0.001575
2023-12-27,Up,0.82,Up,0.003235
2023-12-28,Up,0.82,Up,0.002025
2023-12-29,Up,0.82,Down,-0.013749
2024-01-02,Up,0.82,Down,-0.000728
2024-01-03,Up,0.82,Down,-0.007178
2024-01-04,Up,0.82,Down,-0.000516
2024-01-05,Up,0.82,Up,0.018872
2024-01-08,Up,0.82,Up,0.002936
2024-01-09,Up,0.82,Up,0.018574
2024-01-10,Up,0.82,Up,0.004859
2024-01-11,Up,0.82,Up,0.009984
2024-01-12,Up,0.82,Up,0.004634
2024-01-16,Up,0.82,Down,-0.002050
2024-01-17,Up,0.82,Up,0.011297
2024-01-18,Up,0.82,Up,0.012187
2024-01-19,Up,0.82,Down,-0.005418
2024-01-22,Up,0.82,Up,0.006028
2024-01-23,Up,0.82,Up,0.009175
2024-01-24,Up,0.82,Up,0.005738
2024-01-25,Up,0.82,Down,-0.002322
2024-01-26,Up,0.82,Up,0.014334
2024-01-29,Up,0.82,Down,-0.002758
2024-01-30,Up,0.82,Down,-0.026946
2024-01-31,Up,0.82,Up,0.015594
2024-02-01,Up,0.82,Up,0.018426
2024-02-02,Up,0.82,Down,-0.013545
2024-02-05,Up,0.82,Down,-0.000394
2024-02-06,Up,0.82,Up,0.021110
2024-02-07,Up,0.82,Up,0.000145
2024-02-08,Up,0.82,Up,0.015551
2024-02-09,Up,0.82,Down,-0.012579
2024-02-12,Up,0.82,Down,-0.021529
2024-02-13,Up,0.82,Up,0.007802
2024-02-14,Up,0.82,Down,-0.007155
2024-02-15,Up,0.82,Down,-0.006149
2024-02-16,Up,0.6101,Down,-0.003143
2024-02-20,Up,0.7541,Down,-0.001514
2024-02-21,Up,0.82,Up,0.023547
2024-02-22,Up,0.82,Down,-0.003182
2024-02-23,Up,0.82,Down,-0.006824
2024-02-26,Up,0.82,Down,-0.000147
2024-02-27,Up,0.82,Up,0.000589
2024-02-28,Up,0.82,Up,0.014520
2024-02-29,Up,0.82,Up,0.004497
2024-03-01,Up,0.82,Down,-0.001396
2024-03-04,Up,0.82,Down,-0.029572
2024-03-05,Up,0.82,Down,-0.001391
2024-03-06,Up,0.82,Up,0.017533
2024-03-07,Up,0.82,Down,-0.007137
2024-03-08,Up,0.82,Down,-0.004185
2024-03-11,Up,0.7656,Up,0.026599
2024-03-12,Up,0.82,Down,-0.000433
2024-03-13,Up,0.82,Up,0.024380
2024-03-14,Up,0.82,Down,-0.020695
2024-03-15,Up,0.82,Up,0.002161
2024-03-18,Up,0.82,Up,0.009801
2024-03-19,Up,0.82,Up,0.009065
2024-03-20,Up,0.82,Up,0.009736
2024-03-21,Up,0.82,Down,-0.001467
2024-03-22,Up,0.82,Down,-0.013715
2024-03-25,Up,0.82,Down,-0.002861
2024-03-26,Up,0.82,Down,-0.000522
2024-03-27,Up,0.82,Down,-0.001685
2024-03-28,Up,0.82,Up,0.009151
2024-04-01,Up,0.82,Down,-0.007372
2024-04-02,Up,0.82,Down,-0.002349
2024-04-03,Up,0.82,Down,-0.006113
2024-04-04,Up,0.82,Up,0.018283
2024-04-05,Up,0.82,Down,-0.002186
2024-04-08,Up,0.82,Up,0.003980
2024-04-09,Up,0.82,Down,-0.007085
2024-04-10,Up,0.82,Up,0.011033
2024-04-11,Up,0.82,Down,-0.014091
2024-04-12,Up,0.82,Down,-0.019578
2024-04-15,Up,0.5943,Up,0.002272
2024-04-16,Neutral,0.5373,Down,-0.006609
2024-04-17,Up,0.5915,Down,-0.018381
2024-04-18,Down,0.2,Down,-0.012739
2024-04-19,Down,0.2,Up,0.004610
2024-04-22,Down,0.4113,Up,0.016485
2024-04-23,Up,0.82,Up,0.003656
2024-04-24,Up,0.82,Down,-0.024495
2024-04-25,Up,0.82,Up,0.018244
2024-04-26,Up,0.82,Down,-0.010017
2024-04-29,Up,0.82,Down,-0.032119
2024-04-30,Down,0.3306,Up,0.014409
2024-05-01,Neutral,0.5284,Up,0.007343
2024-05-02,Up,0.82,Up,0.022170
2024-05-03,Up,0.82,Up,0.016918
2024-05-06,Up,0.82,Down,-0.010156
2024-05-07,Up,0.82,Up,0.002932
2024-05-08,Up,0.82,Up,0.004336
2024-05-09,Up,0.82,Up,0.005869
2024-05-10,Up,0.82,Down,-0.002459
2024-05-13,Up,0.82,Up,0.006865
2024-05-14,Up,0.82,Up,0.015652
2024-05-15,Up,0.82,Down,-0.004940
2024-05-16,Up,0.82,Down,-0.001853
2024-05-17,Up,0.82,Up,0.012208
2024-05-20,Up,0.82,Up,0.008699
2024-05-21,Up,0.82,Up,0.003450
2024-05-22,Up,0.82,Down,-0.008176
2024-05-23,Up,0.82,Up,0.007400
2024-05-24,Up,0.82,Up,0.000372
