date,predLabel,probUp,trueLabel,trueRet
2023-11-14,Up,0.82,Down,-0.015466
2023-11-15,Up,0.82,Up,0.012109
2023-11-16,Up,0.82,Down,-0.003678
2023-11-17,Up,0.82,Up,0.022536
2023-11-20,Up,0.82,Down,-0.009225
2023-11-21,Up,0.82,Down,-0.024588
2023-11-22,Up,0.82,Down,-0.019295
2023-11-24,Up,0.8153,Up,0.009754
2023-11-27,Up,0.82,Down,-0.008727
2023-11-28,Up,0.82,Up,0.006671
2023-11-29,Up,0.82,Down,-0.028459
2023-11-30,Up,0.82,Down,-0.000107
2023-12-01,Up,0.82,Down,-0.026836
2023-12-04,Up,0.6799,Up,0.023204
2023-12-05,Up,0.82,Down,-0.022828
2023-12-06,Up,0.6626,Up,0.024020
2023-12-07,Up,0.82,Up,0.019530
2023-12-08,Up,0.82,Down,-0.018503
2023-12-11,Up,0.82,Up,0.022090
2023-12-12,Up,0.82,Up,0.009044
2023-12-13,Up,0.82,Up,0.005448
2023-12-14,Up,0.82,Up,0.011169
2023-12-15,Up,0.82,Up,0.024279
2023-12-18,Up,0.82,Down,-0.009445
2023-12-19,Up,0.82,Down,-0.030098
2023-12-20,Up,0.82,Up,0.018270
2023-12-21,Up,0.82,Down,-0.003266
2023-12-22,Up,0.82,Up,0.009195
2023-12-26,Up,0.82,Up,0.002800
2023-12-27,Up,0.82,Up,0.002125
2023-12-28,Up,0.82,Down,0.000000
2023-12-29,Up,0.82,Down,-0.027341
2024-01-02,Up,0.82,Down,-0.012436
2024-01-03,Up,0.82,Up,0.009018
2024-01-04,Up,0.82,Up,0.022897
2024-01-05,Up,0.82,Up,0.064281
2024-01-08,Up,0.82,Up,0.016975
2024-01-09,Up,0.82,Up,0.022770
2024-01-10,Up,0.82,Up,0.008684
2024-01-11,Up,0.82,Down,-0.002043
2024-01-12,Up,0.82,Up,0.030561
2024-01-16,Up,0.82,Down,-0.005835
2024-01-17,Up,0.82,Up,0.018804
2024-01-18,Up,0.82,Up,0.041746
2024-01-19,Up,0.82,Up,0.002740
2024-01-22,Up,0.82,Up,0.003671
2024-01-23,Up,0.82,Up,0.024869
2024-01-24,Up,0.82,Up,0.004156
2024-01-25,Up,0.82,Down,-0.009510
2024-01-26,Up,0.82,Up,0.023496
2024-01-29,Up,0.82,Up,0.004947
2024-01-30,Up,0.82,Down,-0.019865
2024-01-31,Up,0.82,Up,0.024380
2024-02-01,Up,0.82,Up,0.049709
2024-02-02,Up,0.82,Up,0.047944
2024-02-05,Up,0.82,Down,-0.015996
2024-02-06,Up,0.82,Up,0.027498
2024-02-07,Up,0.82,Down,-0.006534
2024-02-08,Up,0.82,Up,0.035784
